Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12)
id,1,2,3,4,5,6,7,8,9,10,11,12
age,5 - 6 років,7 - 9 років,10 - 11 років,12 - 14 років,15 - 17 років,18 - 25 років,18 - 25 років,Дорослі 25+,Групи,Дует юніори,Дует діти,Дует дорослі
createdAt,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00
updatedAt,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00,2024-05-14 05:55:34.363000 +00:00
