Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8)
id,1,2,3,4,5,6,7,8
trends,Pole Sport (пілон спорт),Pole Art (пілон артістік),Hoop Sport (кільце спорт),Hoop Art (кільце артістік),Silk Sport (полотна спорт),Silk Art (полотна артістік),Original Genre (орігінальний жанр),Hammock Art
createdAt,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-22 11:26:11.881000 +00:00
updatedAt,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-14 05:55:34.371000 +00:00,2024-05-22 11:26:17.872000 +00:00
