Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8)
id,1,2,3,4,5,6,7,8
name,Протокол оценки технической сложности Pole Sport,Протокол оценки технической сложности Aerial Hoop,Протокол оценки технической сложности Aerial Silk,"Протокол оценки чистоты выполнения, штрафы",Протокол оценки артистической и хореографической постановки,Протокол оценки АРТ,Протокол обязательных элементов,Протокол главного судьи
createdAt,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00
updatedAt,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00,2024-05-14 05:55:39.132000 +00:00
