Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
trendId,1,1,1,1,1,3,3,3,3,3,5,5,5,5,5,2,2,4,4,6,6
protocolTypeId,1,4,5,7,8,1,4,5,7,8,1,4,5,7,8,6,8,6,8,6,8
createdAt,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00
updatedAt,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00,2024-05-14 05:55:39.164000 +00:00
